image,blip_caption,reference_captions
3423249426_02bedf9260.jpg,a group of people standing on top of a hill,"['A group of people standing on a rock path .', 'A group of women converse together while overlooking the views of the foliage .', 'A woman looks skeptically at the person taking a picture of her and 3 girls who are outdoors .', 'Four women stop along a walkway to look at an area beyond the fence .', 'Women are outside .']"
3524519277_bd0c3e7382.jpg,a group of police officers,"['A man holding a bottle wearing tan pants talking to security officers in front of a large poster .', 'A man talks to two guards as he holds a drink .', 'Two men in black uniforms talking to a man holding a bottle of soda .', 'Two policemen are talking to a man who is holding a bottle .', 'Two uniformed law enforcment officers speaking to another male .']"
446286714_dcec7f339e.jpg,a man sitting on a bench,"['An elderly man is sitting on a bench .', 'An older man wearing a brown coat siting on a bench .', 'An old man in a coat and hat sitting on a park bench .', 'Old man in tan jacket and black cap sitting on bench', 'The older man with the shopping bag and cane is sitting on a bench .']"
3204081508_0e7f408097.jpg,a group of people on the beach,"['A group of people are lounging at a beach .', 'A group of sunbathers gather near some kayaks at the beach .', 'People sun on the beach next to boats .', 'Several beachgoers are reclining near upside-down boats .', 'Several people play and relax on the beach .']"
1797554350_20998753c0.jpg,a woman holding an umbrella,"['A jogger is being sheltered with an umbrella .', 'A runner is being handed a water bottle from a woman in a teal jacket holding an umbrella .', 'A woman assists a marathon runner by holding an umbrella over her and giving her water .', 'A woman is holding a pink and brown umbrella for a lady running in a race wearing number 13406 .', 'On a rainy day , a woman holds an umbrella above a runner and gives her water .']"
3273325447_81c94000da.jpg,a person on a dirt bike,"['A dirt biker participates in a race .', 'A dirt bike tears up the terrain .', 'A man on a bike throws up dirt during a motor cross event .', 'a motocross bike kicks up dirt as it is being ridden around a bend in the circuit .', 'A person in a blue outfit rides a motorcycle through a hill of dirt .']"
2939007933_8a6ef2d073.jpg,a motorcycle in the air,"['A cyclist is laying on his motorbike while in the air .', 'A guy on a motorcycle lays back with his feet up over the handlebars , high in the grey sky .', 'A motorcyclist is performing a trick in midair .', 'A motorcyclist doing a trick while in the air .', 'A person is laying down on his dirt bike while in the air .']"
1298866571_b4c496b71c.jpg,the man is wearing a suit,"['a asian man gives an evil eye to the camera .', 'A man in a suit holds his cellphone in the air .', 'A serious looking young man with a suit holds a cellphone .', 'A young Asian man is looking at his cellphone .', 'Man in suit is using his cellphone while sitting on a train .']"
1287475186_2dee85f1a5.jpg,a boy playing in the water,"['A boy sitting in water .', 'A small boy is sitting in the water and water is splashing up through his legs .', 'A young boy in a swimming suit sits in water .', 'A young boy sitting on a water jet in a pool .', 'Little boy sitting in water with a fountain coming up through his lap .']"
1881494074_1bebd93089.jpg,a man wearing a red shirt,"['A baby with a pink hat , held by a man in red and a woman in pink .', 'A man is holding his baby while a woman takes a picture of the baby .', 'A woman takes a photo of a baby being held by a man .', 'A woman takes a picture of a baby wearing a pink hat while a man carries her .', 'Woman is taking a picture of a baby in a pink hat .']"
241347271_a39a5a0070.jpg,a group of football players,"['A football game in progress .', 'Football players are on the field .', 'Men play football as a crowd watches .', 'Quarterback waiting for snap of football .', 'Two football teams compete .']"
244571201_0339d8e8d1.jpg,a group of people playing in a swimming pool,"['A bunch of dogs and kids playing in a swimming pool .', 'Dogs and people play in a pool .', 'Five dogs are swimming and four people are wading , together inside a dog park pool .', 'People and several dogs in a swimming pool in a park like setting .', 'Several people and dogs are in or near a large outdoor swimming pool .']"
3127888173_9a9a8ac3bd.jpg,a group of people standing around a box,"['Little kids stand together and receive an award for something .', 'Three children are standing with baskets on numbered blocks .', 'Three children standing on a podium , awaiting an award .', 'Three children stand on a pedestal indicating first , second , and third place .', 'three children stand on the pedestal .']"
3294717824_3bb7b5d1c8.jpg,a wave in the ocean,"['A man in a full wetsuit surfs a crashing wave .', 'A man in a wetsuit is surfing on a green surfboard .', 'A man surfs in the curl of the wave .', 'A person surfing a wave .', 'A surfer rides out a wave .']"
1258913059_07c613f7ff.jpg,"a red, white and blue building","['A couple of people sit outdoors at a table with an umbrella and talk .', 'Three people are sitting at an outside picnic bench with an umbrella .', 'Three people sit at an outdoor cafe .', 'Three people sit at an outdoor table in front of a building painted like the Union Jack .', 'Three people sit at a picnic table outside of a building painted like a union jack .']"
3226541300_6c81711e8e.jpg,the man is wearing a red robe,"['Two men in magenta costumes performing .', 'two men in red fight .', 'Two men in red robes performing martial arts .', 'Two people dressed in pink .', 'two people in red traditional Chinese garb are performing with sticks']"
2363100645_c3423a0433.jpg,the girl is playing the guitar,"['A little girl playing the guitar , some flowers to the left .', 'A little girl sitting on a bed playing a guitar .', 'A young girl in a pink room tries to play a black electric guitar .', 'A young girl plays guitar by pink walls .', 'A young girl plays the electric guitar on her bed .']"
3482974845_db4f16befa.jpg,two dogs running on the beach,"['A black dog with his pink tongue sticking out running on the beach with a white dog wearing a red collar .', 'A white dog is following a black dog along the beach .', 'Two dogs run across the barren ground .', 'Two dogs running on the beach .', 'Two terrier dogs frolic on the beach .']"
3373946160_1c82d54442.jpg,a black and brown dog,"['A black and brown dog rolls around in the grass .', 'A brown and black dog is rubbing his face in the grass .', 'A brown and black dog rubs his face in the grass .', 'A large dog rubs its face in the grass .', 'Black dog rolls head in grass .']"
3458577912_67db47209d.jpg,the dog is on the floor,"['Two furry light brown dogs lying on a hardwood floor .', 'Two terriers play on the wood floor of their home .', 'Two white dogs are laying in the doorway of a wooden floored apartment .', 'Two white dogs playing in the house near a computer monitor .', 'Two white , long haired dog are in a hallway on a wooden floor .']"
3203872773_6c30f64be3.jpg,a man in the air,"['A bearded man with glasses does a toe-touch .', 'A man jumping into the air', 'A man jumps into the air .', 'A man wearing suspenders and sunglasses leaps up in the air with his arms and legs spread out to the side .', 'A man wearing suspenders performs a split in midair .']"
2934628301_41ea2e6cf9.jpg,a dog in the water,"['A big , black dog with a red collar runs in the water .', 'A black dog in a red collar splashing through the water .', 'A black dog is running through some water .', 'A black dog splashes in the water', 'A black dog with a red collar is walking through water .']"
241347760_d44c8d3a01.jpg,a football player wearing a helmet and holding a ball,"['A man is wearing a Sooners red football shirt and helmet .', 'A Oklahoma Sooners football player wearing his jersey number 28 .', 'A Sooners football player weas the number 28 and black armbands .', 'Guy in red and white football uniform', 'The American footballer is wearing a red and white strip .']"
3009644534_992e9ea2a7.jpg,the dog is white and brown,"['a closeup photo of a small dog with a holey ball in his mouth .', 'A dog carrying a white ball .', 'A dog fetches a ball in a field .', 'A dog trots with a ball in its mouth .', 'The dog is carrying a whiffle ball outside']"
3271252073_0a1b9525fc.jpg,woman wearing a black coat,"['The ladies are talking .', 'Three women are smiling with paintings behind them .', 'Three women at an art gallery , two of the women holding wine glasses .', 'Three women talking and laughing , while 2 hold glasses of wine .', 'Three women talking , holding glasses of wine , with paintings in the background .']"
2562483332_eb791a3ce5.jpg,a woman on a swing,"['A teenage girl and little girl play on pink toy .', 'A woman and a girl are swinging on a red swing', 'A woman playing with play equipment while a child looks on .', 'Children on a red and yellow swing set .', 'Two kids playing on playground equipment .']"
3637013_c675de7705.jpg,a man standing on the edge of a river,"[""A couple stands close at the water 's edge ."", 'The two people stand by a body of water and in front of bushes in fall .', 'Two people hold each other near a pond .', 'Two people stand by the water .', 'Two people stand together on the edge of the water on the grass .']"
391579205_c8373b5411.jpg,a woman holding a dog on a leash,"[""A dog jumping up to touch a woman 's hand ."", 'a dog jumps to an elderly woman .', 'An airborne dog on a leash with a woman .', ""The small dog is leaping in the air toward the woman 's hand ."", 'The woman in the blue sweater encourages the dog to jump in the air .']"
1072153132_53d2bb1b60.jpg,the dog is black and white,"['A black and white dog catches a toy in midair .', 'A dog and a tennis ball .', 'A dog is jumping to catch a object thrown at it ,', 'A dog leaps while chasing a tennis ball through a grassy field .', 'A multicolor dog jumping to catch a tennis ball in a grassy field .']"
3550459890_161f436c8d.jpg,a man playing with a dog in a park,"['A man about to throw a toy for a dog to go and fetch .', 'A man throwing a ball for a dog .', 'A man throwing a red stick for a dog to fetch .', 'A person throws a red toy for a dog to run for .', 'The man is throwing a toy to a brown and black dog in the park .']"
3631671718_d712821757.jpg,a little girl holding a baseball bat,"['A girl plays T-ball .', 'A little girl about to hit a baseball off a tee', 'A little girl in a pink shirt takes a swing at a t-ball .', 'A little girl is swinging at a baseball .', 'A young girl in a pink shirt gets ready to swing bat at a tee ball game']"
224766705_b77996527f.jpg,the truck is green and white,"['A caravan of green and red vehicles going up a mountain .', 'A line of green and red dune buggys on a gravel road near rocks and large pine trees .', 'A line of off road vehicles riding along a trail .', 'A long line of off-road vehicles on a mountain trail', 'Several off-road vehicles are driving down a gravel road .']"
3455405300_aa3069ecaa.jpg,a group of women singing,"['A choir in red uniforms singing in front of a business .', 'A group of women all dressed in red with yellow flower pins .', 'A group of women wearing red all rally together .', 'Five women in red shirts clapping .', 'Women wearing red and black are clapping .']"
2940594396_20c40947b0.jpg,a man on a bike,"['A disabled athlete is competing with his sponsored gear along a street lined with spectators .', 'A man riding on a three-wheeled wheelchair .', 'A man with a helmet is racing a three wheeled bicycle .', 'A man with no legs is in a race with his wheelchair .', 'The handicapped biker uses his arms to move his yellow sports bike .']"
2734669176_c272b42597.jpg,a dog jumping in the air,"['A baseball player , a woman with Frisbees , and a dog in front of blue bleachers .', 'A blonde haired girl is doing a trick with her dog that is in the air trying to catch a flying Frisbee .', 'A dog jumping for a Frisbee while a woman crouches nearby .', 'A woman thows a Frisbee to a dog as a baseball player in uniform runs behind her .', 'The girl does freestyle Frisbee tricks with her dog at the baseball park .']"
2562377955_8d670ccec6.jpg,a young baseball player pitching a ball,"['a boy in an orange jersey is about to pitch a baseball .', 'A boy in an orange "" Spring Hill "" ball team uniform , pitching the ball .', 'A little boy in orange pitching at a baseball game .', 'A young boy in an orange uniform is pitching a baseball during a game .', 'The boy in the orange shirt is throwing the ball .']"
2230067846_74046b89d3.jpg,the boy is wearing a white shirt,"['Children stretch outside .', 'Two boys hold their feet in their hands while balancing on one foot .', 'Two boys in running clothes stretching .', 'Two boys standing holding the ankle of one crossed leg .', 'two young man holding one leg in their hand']"
241345811_46b5f157d4.jpg,a group of football players standing on a field,"['A coach talks to a football player during a timeout .', 'A football coach speaks with a player .', 'A football player in red and white is talking to a coach .', 'Coach talks with football player , other players and crowd in background .', 'There is a football player in a red jersey on the field talking to his coach .']"
697778778_b52090709d.jpg,a waterfall in the woods,"['Three climbers on rocks near waterfall .', 'Three men climb a natural waterfall rock face .', 'Three men in matching outfits climb a rock wall next to a waterfall .', 'Three people are climbing rocks near a small waterfall .', 'Three people rock climbing in matching clothes beside a small waterfall .']"
3559781965_d4ec00e506.jpg,a dog running in a field,"['A big tan dog wearing a muzzle running in green grass .', 'A brown dog wears a blue muzzle as it runs in the grass .', 'A brown dog with a blue muzzle is running on green grass .', 'A brown greyhound is wearing a blue muzzle and blue collar .', 'The brown dog with the blue muzzle is in the field .']"
2719101587_4ba70dee14.jpg,a man riding a green motorcycle,"['A guy doing tricks on a motorcycle .', 'a motorcyclist does a nose wheelie .', 'A person in a specialized suit rides a motorcycle .', 'Motorcyclist performing while two men watch .', 'The rider is driving their motorcycle .']"
2021671653_567395c7cf.jpg,a young boy is running on the sidewalk,"['A boy dressed in denim is running on the sidewalk .', 'A young boy in motion in front of potted plants and a beige wall .', 'a young boy wearing a denim outfit running down the street', 'Little boy in denim runs through paved , Spanish-style yard area .', 'Young boy running waring blue jacket and blue jeans , flower pots are in the background on a cement walkway .']"
1860543210_47e94cf652.jpg,the man is wearing a backpack,"['A guy in gray is walking across the street at night .', 'A man walking across a crosswalk with long hair , a green hoodie , and a backpack .', 'A man with long hair is making an "" OK "" sign with his hand while he walks down a street .', 'A man with long hair wearing gray clothes and a backpack .', 'a young man wearing grey pants and backpack with long brown hair']"
2854234756_8c0e472f51.jpg,a woman standing in front of a store,"['A man stands with her arms folded outside a travel agency .', 'A woman leaning on a doorway to a store .', 'A woman standing in front of a store with her arms crossed .', 'A woman stands outside a store .', 'The woman is standing with her arms folded by a blue door .']"
1931690777_897a7d8ab6.jpg,the kids are jumping in the pool,"['Four boys doing a cannonball jump in unison into the pool .', 'Four boys in swim trunks jump into a swimming pool .', 'Four boys jumping into an inground pool .', 'Four boys jumping into a swimming pool .', 'Four children jump in a pool .']"
2789648482_1df61f224a.jpg,a clear blue sky,"['A boy jumps off a platform whilst two other boys stand and watch .', 'A child is jumping off a platform into a pool .', 'Three boys jumping off of a platform .', 'Three children on diving board , with one jumping off .', 'Two boys standing on top of a diving platform and one captured midair .']"
370614351_98b8a166b9.jpg,a man in a kilt,"['A man with a Mohawk with his arms in the air .', 'A man with multicolored hair wearing a weird outfit', 'A person in a kilt and a sports jersey and a Mohawk is in a store .', 'Punk rocker buys computer ink in the big-box store .', 'The man with the eccentric clothing and hair poses in a store .']"
2745811124_12c4426b8b.jpg,a group of people watching a sheep,"['A blond girl standing in a crowd holding a goat on a leash .', 'A girl holding a sheep by the leash in a busy fair setting', 'A girl in a crowd in holding on to a leashed sheep .', 'A little girl is in a crowd of people holding a rope attached to a sheep .', 'The young girl is holding a yellow leash attached to a sheep .']"
3296584432_bef3c965a3.jpg,a man walking on a beach with a dog,"['A brown dog chases something a man behind him threw on the beach .', 'A man and a dog on the beach .', 'A man is interacting with a dog that is running in the opposite direction .', 'A man playing fetch with his dog on a beach .', 'A man walking behind a running dog on the beach .']"
2527713011_b0ec25aa54.jpg,the car is white,"['A black and white rally car takes the turn .', 'A global group race car .', 'The black and white race car is going fast around the track while fans watch nearby .', 'The black and white race car is rounding the turn .', 'The race car is speeding up the hill .']"
3634032601_2236676cdd.jpg,a group of people,"['A crowd of people with a lady with a bright orange shirt and another lady in black have their backs to the camera .', 'a large group of people doing varied activities .', 'A woman in a black tank top and a man in an orange shirt sit their backs to the camera .', 'The back view of a woman in a colorful shirt sitting next to a woman in a black top .', 'Two women with backs to the camera .']"
136886677_6026c622eb.jpg,a man in a canoe,"['A large man sits in the back of a canoe with another man in front on a river .', 'two man are paddling a kayak along a river with green trees on either side .', 'Two men in a small boat rowing down a river .', 'Two men paddling a canoe down a narrow stream .', 'Two paddlers propel a canoe down a tree-lined stream .']"
350529848_9569a3bcbc.jpg,two dogs running on the beach,"['Dog chases ball in water .', 'Two black dogs playing in surf , one grabbing a red ball off the sand .', 'two black dogs race for a ball on the shore .', 'Two dogs playing on a beach with a red ball while waves roll in .', 'Two dogs play in the surf and one has a red ball .']"
3033825101_44a4390f16.jpg,a baseball player pitching a ball,"['A baseball pitcher is bowling the ball .', 'A man playing baseball , throwing the ball .', 'A pitcher throws the ball .', 'Minor league pitcher', 'The guy is in a baseball uniform , in a baseball field , and is throwing a baseball']"
3185695861_86152b2755.jpg,the dog is black and white,"['A black and white dog catching a tennis ball in his mouth .', 'A dog stands in a field with a tennis ball in his mouth .', 'A dog with a ball in a grassy field .', 'A dog with a ball in its mouth sitting outside .', 'The black and white dog catches the tennis ball in his mouth .']"
2108799322_e25aa6e185.jpg,a black dog running through a muddy field,"['A black dog in running in a field .', 'A black dog is running through a marsh-like area .', 'A black dog runs through a muddy bank .', 'A dog running through mucky ground .', 'A mostly black short haired dog is running in a swampy area with its tongue out .']"
862187579_9faf4a51e0.jpg,the man is wearing sunglasses,"['A man wearing glasses is staring off into space .', 'A man with glasses is standing in front of a building .', 'A man with sunglasses looking straight ahead .', 'A man with sunglasses standing by a white and red building with a very blue sky above .', 'The man wearing the purple shirt is in the shadows .']"
510510783_b2cf5d57bb.jpg,the girl is upside,"['A girl is by a tree hanging upside-down from a swing .', 'A little girl is hanging upside down from a swing attached to a tree .', 'A little girl with brown hair , jeans , and a white polka dot shirt , hangs upside down on a swing in her backyard .', 'A young child in a polka dot shirt hangs upside down on a tree swing .', 'child hanging upside down from a tree swing']"
2849194983_2968c72832.jpg,a young girl swimming in a blue pool,"['A girl blows a bubble in the water .', 'A girl whose head is sticking out of the water at her mouth .', 'A girl with brown eyes sits in the water .', 'The girl is swimming with only her head above the water .', 'The girl with brown hair swam in the water .']"
1659358141_0433c9bf99.jpg,the dog is brown,"['A brown dog is panting hard on grass during a sunny day .', 'A brown dog walks in the grass with its tongue hanging out .', 'A dog running with tongue hanging out .', 'A grey dog walks in the green grass , tongue hanging out .', 'a tan dog jogging with his tongue hanging out']"
3214237686_6566b8b52f.jpg,a snowboarder in the air,"['a lone snowboarder jumping in the air doing a trick .', 'A man in black is taking a jump on a snowboard .', 'A person riding a snowboard jumps high over the snowy hill .', 'A person with a yellow and black striped snowboard jumps on the snowy hill .', 'a snowboarder jumps off the snow jump .']"
260392825_ea61660633.jpg,the man is wearing a suit,"['A black man in a red shirt .', 'A man sits on a train with a suit and red shirt .', 'A man who looks sad holding a tissue riding on a city bus .', 'black man in red shirt with tie sitting on a bus', 'The man in the red shirt and flowery tie is sitting on a bus by the window .']"
3672109677_8caa992671.jpg,a group of girls,"['A group of girls dancing on a stage .', 'A group of teenage girls do a synchronized dance in Hanna Montana costumes .', 'Girls in a line do a dance .', 'The girls are dancing and wearing leather outfits .', 'Young girls in dancing outfits perform on a stage .']"
3341477531_4e37450f35.jpg,a man on a skateboard,"['A shirtless man is doing a skateboard trick .', 'A shirtless man rides a skateboard .', 'A shirtless man skateboarding with his arms in the air .', 'A shirtless man skateboards on a ledge .', 'The skateboarder enjoys night skating at the skate park .']"
3326454455_960e5442e9.jpg,two men playing soccer,"['A male soccer player wearing a red uniform jumping in the air and pulling up his shorts .', 'A soccer player pulls his shorts up .', 'A soccer player wearing a red costume makes an obscene gesture .', 'Man in red sports uniform and blue shoes jumping and pull up legs of shorts .', 'We can see the white underwear of the man wearing the red soccer jersey because he is pulling up his shorts .']"
430964917_022995afb6.jpg,a person riding a bike down a street,"['A bicyclist with a backpack rides down a suburban street .', 'A man riding a bike wearing flannel shirt , plaid pants and a blue backpack while riding on a street near buildings and parked cars .', 'A man wearing lots of plaid riding a bike through the streets', 'A person wearing a blue and white coat rides a bicycle down the street .', 'Person riding their bicycle on the street with a backpack on .']"
3741827382_71e93298d0.jpg,a boy on a water slide,"['A boy in a green shirt above something blue .', 'a small boy getting tossed into the air', 'A young boy jumps around on a blue mat with a half-smile on his face .', 'A young boy plays in front of a blue object .', 'The boy wearing the green shirt is climbing on a blue inflatable .']"
2799871904_3b3125518a.jpg,a woman sitting on a bench,"['A gray haired woman in a yellow shirt sitting under a blue sign .', 'An older woman sits under a sign advertising a 3 slice special .', 'A woman facing down is sitting under an advertisment .', 'A woman sits underneath a sale sign .', 'A woman wearing a yellow shirt sits on a wooden bench .']"
3255737244_1f8948fc07.jpg,two little girls hugging,"['A girl and boy hugging in the cobblestone street .', 'A little boy kisses a little girl on the side of the road .', 'A little boy tells a secret to a little girl', 'The two children stand on a cobblestone street and play .', 'Two young children playing on the street .']"
2341254813_c53a5ef27a.jpg,a young boy in a green shirt is on a skateboard,"['a boy in a green shirt is jumping with his arms in the air at the end of a bowling alley .', 'A boy wearing a green shirt is jumping in front of a lane at a bowling alley .', 'A child jumps in the air at a bowling alley .', 'A young boy with a Mohawk and green shirt is excited about bowling .', 'A young boy with a Mohawk jumping at a bowling alley']"
3463523977_f2ed231585.jpg,a little girl standing next to a white swan,"['A girl in a pink shirt jumps and stars at a swan in the park .', 'A red-haired girl is jumping by a swan .', 'A red haired girl is jumping towards a swan .', 'A young girl with red hair is playing on a sidewalk with a swan .', 'a young red haired girl jumping on the sidewalk next to a white duck .']"
1521623639_4bda3407cc.jpg,a man sitting on a bench under a tree,"['A homeless man sitting on a sofa under an overpass .', 'A man is sitting on a couch under an expressway ledge .', 'A man sits on a couch outside under an overpass .', 'Bum sitting on a couch next to a bridge .', 'The man sits on a sofa under the bridge and litter is all around him .']"
1389323170_d1c81d6b51.jpg,a woman sitting on an inflatable on a sidewalk,"['a lone woman sitting on an usual green bench with a cup in her hand', 'A woman sits on a flower pot at a crowded coffee shop .', 'The woman sat on a green bench and had a drink .', 'Woman holding a drink with a white bag next to her is sitting on a green sculpture .', 'Woman sitting on a turquoise bench with a pillow and a bag near a restaurant .']"
339822505_be3ccbb71f.jpg,a man wearing a costume,"['A man is placing jewelry on an extravagantly-haired and decorated female sculpture or stiffly-posed woman .', 'A performer wearing a h', 'A person being dressed in clothing with feathers and sequins .', 'The dancer gets her final makeup before going out onstage .', ""Two men fixing drag queen 's costume .""]"
2431470169_0eeba7d602.jpg,a man sitting at a table outside eating food,"['A man sitting at an outside table , eating lunch , marking on a paper .', 'a single man sitting at a round table reading outside of a shop', 'Man reading a newspaper at an outdoors restaurant .', 'Man reading in a chair outside', 'The man is taking notes at the table .']"
3574627719_790325430e.jpg,a group of young men,"['a group of young men sing out together .', 'Three guys , with a guitar , yelling .', 'Three young men embrace and sing .', 'Three young men sing together while one plays the guitar .', 'Young people celebrate in song .']"
2597308074_acacc12e1b.jpg,the sky is cloudy,"['A boy and a girl at the beach , throwing sand .', 'a boy flings sand at a girl .', 'A boy with an orange tool on the shore is spraying a girl standing in shallow water with mud .', 'Boy flings mud at girl', 'The young boy flings mud at the barefoot girl in the pond .']"
979383193_0a542a059d.jpg,a group of children sitting at a table,"['A group of six children sit at a wooden table .', 'A group of young asian children pose for a picture at a table .', 'Six children , all with black hair , sit at a table for a picture .', 'Six children at a table .', 'Six small children sitting at a desk .']"
166654939_80ea4ddbcc.jpg,dirt on the track,"['A group of race buggies travel down a racetrack .', 'Cars racing on a dirt track', 'Race cars are racing each other on a dirt racetrack and the green one is in the lead .', 'Ralley cars muscle for position on a dirt track .', 'Two lines of colorful cars racing on a racetrack .']"
3723903586_e98d3d8ec7.jpg,the greyhounds are racing,"['greyhounds racing on a track', 'A greyhound race with the lead dog wearing yellow and black stripes and the number 8', 'Dogs racing at a track .', 'Greyhound dogs race on the track , with # 8 leading the way .', 'Some greyhound dogs are racing on a dirt track .']"
2446315531_7c9704eec0.jpg,two dogs playing in the dirt,"['Two brown dog grapple each other in a sandy area .', 'Two brown dogs are biting each other .', 'Two brown dogs are wrestling with each other on some wasteland .', 'Two brown dogs biting each other on sand .', 'Two tan colored dogs playing .']"
384465370_9918873f9a.jpg,a man riding a bike down a dirt road,"['Two cyclists atop a hill as seen from below .', 'two cyclist wearing red shirts going over a red hill', 'Two people in red outfits riding their bicycles down a dirt road .', 'Two people ride their bikes down a dirt road .', 'Two people riding their bikes on a hill .']"
1999444757_1b92efb590.jpg,a group of people playing a game in a gym,"['A girl in white is swinging a sword .', 'A lady shows her sword', 'A woman is swordfighting with an unseen opponent .', 'Boy in martial arts-style uniform holding a sword .', 'Two women watching people in white shirts , one of those persons holding a sword .']"
2854291706_d4c31dbf56.jpg,a man and a woman walking down the street,"['A man and a woman are wearing black and looking at something on the sidewalk .', 'A man and a woman standing in front of signs .', 'a man and women looking at magazines in a window .', 'A man puts his arm around a woman as they look at signs on the street .', 'Interracial couple stand together looking at a display on street']"
2562463210_d0dfd545ca.jpg,a boy in a pool,"['A boy in a pool wearing Spiderman floaties .', 'a boy with spiderman armbands is in the swimming pool by the wall at the edge .', 'A boy with spiderman swimming is in a pool .', 'A young boy wearing Spider-Man water-wings at the edge of the pool .', 'The boy is in the swimming pool .']"
3019857541_3de3e24f54.jpg,a dog standing on top of a pile of leaves,"['A brown dog leaps in the air over colorful leafs', 'A dog is jumping in the air over some leaves .', 'A dog is running through a backyard full of leaves .', 'A dog knocking over potted plants in a yard covered in leaves .', 'The small brown dog is amidst the potted plants and fallen leaves .']"
3351418768_596ef7fd6f.jpg,a woman and two children,"['a family standing in a rock cave with some of their belongings in the background', 'An Afican American woman standing behind two small African American children .', 'An African woman stands with her two children under a boulder .', 'A woman and two children pose for a picture under some rocks .', 'A woman in purple with two children in the mouth of a cave .']"
367964525_b1528ac6e4.jpg,a dog in the snow,"['A brown and white dog running out of the woods through snow .', 'A dog jumps and runs through the forest and snow-covered ground .', 'A dog running through snow with trees in the background', 'A German shepherd playing in the snow near the woods .', 'A large German shepherd runs though deep snow .']"
2813033949_e19fa08805.jpg,a dog jumping in the air,"['A black and white dog jumping for a ball .', 'A black and white dog jumps for a tennis ball .', 'A white and black dog is jumping in the air trying to catch a tennis ball .', 'A white and black dog is playing with a tennis ball near flowers .', 'There is a white and black dog jumping off the ground trying to catch a ball .']"
2256133102_e2c8314ecb.jpg,the water is blue,"['A man in blue pants repels off a cliff over water .', 'A man is hanging by a line off a cliff above water .', 'An individual rappelling down a cliff towards the water', 'A person hangs from a rope on a cliff', 'Someone dangles on a rope from a rocky cliff over the ocean .']"
2831217847_555b2f95ca.jpg,a car driving through a stream in a forest,"['A blue jeep sits in the middle of a stream running through a forested area .', 'A blue Land Rover is driving across a river .', 'A blue SUV drives in a stream surrounded by woodlands .', 'A blue SUV driving over a small creek .', 'The vehicle is crossing a stream of water , in a wooded area .']"
278002800_3817135105.jpg,a man eating a piece of pizza,"['A guy in black jacket eating .', 'A man eats a pastry .', 'A man in a black coat eats a doughnut while other men look out of frame .', 'A man in a black jacket is eating a pastry while standing next to two other men .', 'A man in black is eating a baked good near two elderly men .']"
